Reference; Quantity; Footprint; Value; Description; Voltage; Size; Type; Tolerance; Current; Power; 
C201 C202 C209 C210 ;4;CAP-TH-D8mmP3.5mm;220u;'Aluminium electrolytic low impedance capacitor - eg Panasonic FC or FR parts;'25V;'3.5mm Pitch, 8mm Diameter;';';';';
C203 C204 C211 C212 C301 C302 C303 C304 C305 C306 C315 C320 C321 C323 C337 C338 C339 C340 C341 C342 C351 C352 C359 C373 C374 C375 C376 ;27;SMD-0805;100n;'Ceramic capacitor;'50V;'0805;'X7R;'10%;';';
C205 C206 C213 C214 C325 C327 C363 ;7;SMD-0805;10n;'Ceramic capacitor;'50V;'0805;'X7R;'10%;';';
C207 C208 ;2;SMD-0805;100p;'Ceramic capacitor;'50V;'0805;'C0G;'5%;';';
C217 C218 C219 C220 ;4;SMD-0805;22u;'Ceramic capacitor;'25V;'0805;'X5R;'20%;';';
C307 C308 C309 C310 C311 C312 C313 C314 C343 C344 C345 C346 C347 C348 C349 C350 ;16;SMD-0805;1n;'Ceramic capacitor;'50V;'0805;'C0G;'5%;';';
C316 C318 C355 ;3;SMD-1206;10u;'Ceramic capacitor;'35V;'1206;'X5R;'20%;';';
C329 C331 C333 C335 C365 C367 C369 C371 ;8;CAP-TH-D10mmP5mm;100u;'Aluminium electrolytic - Panasonic FC, Audio Grade, or Bipolar part;'50V;'5mm Pitch, 10mm Diameter;';';';';
C330 C332 C334 C336 C366 C368 C370 C372 ;8;CAP_TH_5mm;100n;'Ceramic capacitor;'63V;'5mm;'Film;'10%;';';
CN301 CN302 CN303 CN304 CN305 CN306 CN307 CN308 ;8;CONN_SIL_2;COAX;'1x2 2.54mm pitch pin header;';';';';';';
D201 D202 ;2;DIODE-SOD-123;SS14L;'SS14L 1A 40V Schottky rectifier - Sub-SMA (SOD-123);';';';';';';
FID1 FID2 FID3 FID4 ;4;FID-1MM-3MM;MNT_HOLE;'Fiducial;';';';';';';
L201 L202 ;2;SMD-0805;600R@100MHz;'Ferrite bead, current rating 0.3A or higher, 600R@100MHz;';'0805;';';'=>0.3A;';
MNT201 MNT202 MNT203 MNT204 ;4;MNT_HOLE_3.2mm;MNT_HOLE;Mounting Hole;;;;;;;
P203 P204 ;2;CONN-2WAY-2.54mm-3.81mm-SPACING;CONN_2x1;'2 way screw terminal, any 2.54mm to 3.81mm pitch part;';';';';';';
P301 P302 ;2;CONN_DIL_2X10_BOX;CONN_02X10;'2x10 2.54mm pitch box header;';';';';';';
R201 R202 ;2;SMD-0805;47;'Thick or thin film resistor;';'0805;';'1%;';'100mW;
R301 R302 R303 R304 R305 R306 R307 R308 R325 R326 R327 R328 R329 R330 R331 R332 ;16;SMD-1206;1k3;'MELF0204 1% =>250mW or 1206 1% =>250mW;';'1206;';'1%;';'250mW;
R309 R310 R311 R312 R313 R314 R315 R316 R333 R334 R335 R336 R337 R338 R339 R340 ;16;SMD-1206;1k5;'MELF0204 1% =>250mW or 1206 1% =>250mW;';'1206;';'1%;';'250mW;
R317 R318 R319 R320 R341 R342 R343 R344 ;8;SMD-1206;100;'MELF0204 1% =>250mW or 1206 1% =>250mW;';'1206;';'1%;';'250mW;
R321 R322 R323 R324 R345 R346 R347 R348 ;8;SMD-1206;100k;'MELF0204 1% =>250mW or 1206 1% =>250mW;';'1206;';'1%;';'250mW;
R349 R350 R351 R352 ;4;SMD-1206;10;'MELF0204 1% =>250mW or 1206 1% =>250mW;';'1206;';'1%;';'250mW;
U301 U302 U303 U304 U305 U306 U307 U308 ;8;IC_SOIC_8;TLE2071;'LOW-NOISE HIGH-SPEED JFET-INPUT OPERATIONAL AMPLIFIERS - SINGLE;';';';';';';
